publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location,C,D,S
2022-01-01,hQl3oP9TL40,"Ach wie gut das Niemand weiß, das Niemand etwas weiß. Wer gegen den Strom schwimmt wird auch belogen",0,0,0,0,0,0,0,0,0,0
2021-12-27,t2d_JUB0mc4,#Halo liebe ZUSCHAUER! ..wann werden die ZUschauer die glauben aufgewacht zu sein endlich aufwachen?,0,0,0,0,0,0,0,0,0,0
2021-12-08,20UHOyzVkog,HALO-Lichteffekt = CORONA = Erhöhung der Intelligenz(=Dummheit) des Menschen #UmgangMitInformationen,0,0,0,0,0,0,0,0,0,0
2021-09-11,lV2f0G_9-3M,LÜGE TÖTET - WAHRHEIT ENTFESSELT DAS WAHRE EWIGE LEBEN - Nur die Lüge braucht Luft zum Leben!,0,0,0,0,0,0,0,0,0,0
2021-08-21,62Td5dbhl-M,ENDZEIT - WAS WAREN WIR BEREIT ZU TUN - WAS HABEN WIR GETAN - DAS WISSEN WAR DAR FÜR JEDERMANN,0,0,0,0,0,0,0,0,0,0
2021-07-27,UM7RdQqWJjE,PARASITEN entstehen durch die Annahme von Informationen - Lass keine Informationen in dich hinein!,0,0,0,0,0,0,0,0,0,0
2021-05-25,dT5ci8ZVjCY,"Wenn Geistheiler Sananda das Wissen über die Wahrheit hätte, würde er Wissen wie man NICHT stirbt..",0,0,0,0,0,0,0,0,0,0
2021-05-11,tC5CX0qbIN4,Worin liegt der Unterschied zwischen THE ONE und dir? Du bist noch programmiert! #ENTPROGRAMMIERUNG,0,0,0,0,0,0,0,0,0,0
2021-05-09,WNxOBMtBkQ8,"Wer seine Seele und seinen Geist entdeckt lebt ewig - Wer Thomas Veit erkennt, erkennt sich selbst!",0,0,0,0,0,0,0,0,0,0
2021-04-15,3fsBsGpThIw,Stell dir vor es ist Krieg und keiner geht ins Internet - Du glaubst du hast die Wahrheit gefunden?,0,0,0,0,0,0,0,0,0,0
2021-04-12,jpGgPJq9F6Q,"GÖTTERDÄMMERUNG - das SCHICKSAL hat die Macht, da unwissende Götter die Gedanken als ihre annehmen!",0,0,0,0,0,0,0,0,0,0
2021-04-12,aKlPiP6XmBY,Vidar´s Quest - Lederstreifen für Vidars Schuh = Menschen erkennen den sich Selbsterkennenden (Twin),0,0,0,0,0,0,0,0,0,0
2021-04-11,fZKg6IxcC8M,"EIN VOLK, EIN REICH, EIN ZWILLING - Wer hat Angst vorm schwarzen Mann? Niemand?? Wenn er aber ...",0,0,0,0,0,0,0,0,0,0
2021-03-29,dOfJsN0VXQk,BRANDAKTUELL - 5g=100% Steuerung des Menschen - Wie das Wort den Menschen verbrennt - O2 can do!,0,0,0,0,0,0,0,0,0,0
2021-03-23,8GvBIa0E6nI,Intelligenz redet der Raum stirbt! Durch Annahme von Information fütterst du das was du nicht bist!,0,0,0,0,0,0,0,0,0,0
2021-02-09,yfUnzYqmPZA,TOTAL RECALL - WER WILL DIE TOTATALE ERINNERUNG? WER WILL FREIHEIT? WER WILL WISSEN?,0,0,0,0,0,0,0,0,0,0
2021-02-09,deTW5V14pPI,"WEF - Davos Agenda - BIOWAFFEN, Pest, Impfung, Great Reset, virtuelle Krankheiten, Transhumanismus",0,0,0,0,0,0,0,0,0,0
2021-02-04,EwfCs_CJnp8,"Invest in Best - Wer nicht in WISSEN investiert, wird mit der Intelligenz untergehen !",0,0,0,0,0,0,0,0,0,0
2021-02-02,Us2nxWO3j0g,"Alles von dieser Welt ist Matrix - Glaube tötet, Wissen schützt - Die Bibel, die Agenda der Matrix!",0,0,0,0,0,0,0,0,0,0
2021-01-24,9GhMwQrSOsk,ZENSUR gibt es um Menschen im Glauben zu lassen es gäbe nützliche Informationen im Außen zu finden!,0,0,0,0,0,0,0,0,0,0
2021-01-24,E56C-8Oj808,Sinn des Lebens -  Ziele NWO - Endzeit - Welt im Wandel hin zum dämonischen BLACK-GOOgle Bewusstsein,0,0,0,0,0,0,0,0,0,0
2021-01-24,traKsc__s6Y,"DENKEN - Der Virus der Matrix! Die GOLDENE MASKE.., die BESTEN INSZENIERUNG geht an.... CORONAVIRUS!",0,0,0,0,0,0,0,0,0,0
2021-01-24,_kLLGeBhsyU,Endzeit - FALSCHE Heiler und Propheten verführen Menschen mit fehlender Decodierung der Sprache,0,0,0,0,0,0,0,0,0,0
2021-01-17,FkyLNvWKpmk,"Wissen, Wahrheit VS. Intelligenz, Lüge - ES GEHT UM ALLES - Kampf Gut gegen Böse - Exit aus der Lüge",0,0,0,0,0,0,0,0,0,0
2021-01-17,20d8Qp8izG4,Informationskrieg verstehen - das Wort programmiert Roboter - Versklavungsmechanismus der Matrix,0,0,0,0,0,0,0,0,0,0
2021-01-17,N9CwbwnXBiQ,Wahrheitsfinderszene komplett infiltriert ohne das es jemand merkt - Gedanken kommen von Dämonen,0,0,0,0,0,0,0,0,0,0
2021-01-09,XETq4xSVWSo,Endzeit - Botschaft an die Menschheit - Der Kampf um die Verkörperung - Menschen werden übernommen!,0,0,0,0,0,0,0,0,0,0
2021-01-03,jyhxn8KCPfk,Jeder Mensch der die Seele für die WAHRE LIEBE tauscht hat die MACHT die Welt zum GUTEN zu verändern,0,0,0,0,0,0,0,0,0,0
2021-01-02,QaiTPhOME2A,Es gibt nur ein Virus und das ist die SpRACHE - SpRACHE wird über die Luft übertragen!,0,0,0,0,0,0,0,0,0,0
2021-01-01,BgQuG4i9SpQ,"Nachdem die Dunkelheit erkannt worden ist, lässt der Teufel ein Trugbild der Wahrheit erscheinen!",0,0,0,0,0,0,0,0,0,0
2020-12-24,pZ0zZsdetqY,"Die wahre Impfung ist die Prägung mit Informationen, egal ob lichtvolle oder dunkle Informationen",0,0,0,0,0,0,0,0,0,0
2020-10-23,3lUUcQYumDU,CORONA 2020 Die Herrschaft der LÜGENINFORMATIONEN - die Sprache ist die tötlichste Waffe der Dämonen,0,0,0,0,0,0,0,0,0,0
2020-10-22,-G0S2N40S98,Die Seele gibt Befehle und du befolgst sie - Die Seele transformiert den Menschen in einen Zombie!,0,0,0,0,0,0,0,0,0,0
2020-10-04,h6wvoAWwhYs,"Technologie ist die Verführung aus dem Paradies - Thomas Veit, DER  Erfahrungsweg Transhumanismus!",0,0,0,0,0,0,0,0,0,0
2020-10-02,qbYNjete9q8,Zusammenhänge - Authismus Asperger Wrong Planet - Verstehe die Welt in die du verführt wurdest,0,0,0,0,0,0,0,0,0,0
2020-09-08,RTVQJAYz2T8,Drogen Bad Trips Horror - Festplatte löschen - Heroin LSD Crystal Krokodil - Chasing the Dragon,0,0,0,0,0,0,0,0,0,0
2020-08-30,b6CuxBIR9IQ,OBEY - sei ein braver Roboter - Polizei dient unwissentlich NICHT den Menschen -was wirst du machen?,0,0,0,0,0,0,0,0,0,0
2020-08-30,MeXTc_bxsog,WWZ Informationskrieg - Beschreibung unterhalb des Videos lesen !,0,0,0,0,0,0,0,0,0,0
2020-08-04,d4ltzPUKOM0,Prof. Dr. Dr. Enrico Edinger Aufwachen! ENKI - Lasst UNS?? Menschen machen! Um was geht ES wirklich?,0,0,0,0,0,0,0,0,0,0
2020-07-25,Gkl69aKv1e0,Hüte die Zunge - Virus wird über Luft durch WORTE/INFO´s übertragen - Wie schafft das Wort Realität?,0,0,0,0,0,0,0,0,0,0
2020-07-12,qafVOLpHoXU,COVID-19 transformation map- Zeichen von Heiko Schrang -Corona=ZUschauerkreis - KI Virus ist tödlich,0,0,0,0,0,0,0,0,0,0
2020-07-02,Qq97ctMt8YE,SURVIVOR - Corona Pandemie - Ein Gedanke ist ein Virus der alles Zerstört! du bist nicht der Gedanke,0,0,0,0,0,0,0,0,0,0
2020-04-08,ebp_c7XFk0A,Coronavirus FAKENEWS - Wie jeder Mensch durch Unwissenheit sich selbst & seine Mitmenschen abschafft,0,0,0,0,0,0,0,0,0,0
2020-04-03,DTWmbzatv5I,Corona-Weltuntergang- Wie sich die Menschheit selbst zerstört- die Matrix entsteht durch das Wort,0,0,0,0,0,0,0,0,0,0
2020-03-30,6OhEdhQiqPU,UNA BELLA COMPANIA- Eine kriegerische Unternehmung- die Wahrheit braucht Krieger; Leben ist Bewegung,0,0,0,0,0,0,0,0,0,0
2020-03-28,CUIrqhzGH1A,Asterix und das Geheimnis des Coronavirus- Werde ein unbeugsamer Gallier -WISSEN ist der Zaubertrank,0,0,0,0,0,0,0,0,0,0
2020-03-21,qQzAW5mrH6Y,Wie entsteht ein Corona Virus Covid-19 ? Durch Annahme von Information -Der Mensch als Influenza(er),0,0,0,0,0,0,0,0,0,0
2020-03-11,OchKRbD9CHQ,"Corona Virus ist eine Illusion - jeder glaubt, keiner weiß! - alle reden darüber, keiner sagt etwas!",0,0,0,0,0,0,0,0,0,0
