Source,Target,Weight
0,0,2012
1,1,1711
0,2,997
12,3,900
1,0,869
0,1,833
4,4,814
97,5,808
0,6,787
7,7,726
8,8,710
19,0,701
6,0,696
2,0,671
24,2,661
0,8,639
2,2,629
168,9,594
10,10,589
11,11,580
98,1,557
0,11,538
12,12,536
11,0,533
0,13,529
259,14,523
15,15,505
3,12,504
12,0,493
16,16,479
17,17,477
0,18,474
54,1,474
25,0,472
6,6,472
0,19,461
10,0,457
20,20,455
0,21,451
22,22,450
28,23,434
8,0,424
0,24,423
19,19,419
20,0,418
0,25,416
96,26,409
27,27,408
28,28,408
4,0,402
0,28,397
28,0,395
0,12,394
25,25,391
17,0,390
2,1,390
24,24,386
7,16,378
12,25,376
1,8,376
0,10,375
29,29,374
5,5,370
8,1,369
189,0,368
30,30,367
16,7,358
0,27,357
1,10,356
18,0,351
24,1,351
1,6,347
0,31,346
27,1,345
49,20,340
2,4,334
1,32,333
8,2,331
33,33,326
0,34,318
25,2,314
49,35,311
19,1,306
15,0,306
31,2,305
6,19,304
86,0,302
6,1,298
24,0,298
2,12,296
0,20,295
1,19,295
1,2,294
49,0,292
55,0,290
1,18,290
123,28,289
18,18,289
25,1,288
0,15,285
10,1,282
51,16,279
2,8,277
1,36,277
0,37,276
44,38,273
0,39,272
98,32,271
40,40,271
2,24,271
1,12,271
3,0,270
41,41,269
13,13,268
114,42,267
43,43,267
1,33,267
44,44,266
11,1,266
45,45,263
46,46,259
216,47,256
0,48,256
0,49,255
31,0,253
145,47,253
145,42,252
153,26,249
18,1,249
13,1,248
50,50,247
16,51,246
86,2,246
51,7,245
0,52,245
49,49,243
0,17,241
0,4,241
1,25,240
7,29,239
5,0,238
1,24,238
0,53,236
20,6,236
31,31,234
6,2,234
29,16,232
8,11,231
2,6,231
1,17,230
12,1,229
19,2,227
46,0,226
59,0,226
1,4,226
5,2,225
53,0,225
1,11,224
87,10,223
0,54,223
52,0,223
35,35,222
25,3,221
55,55,221
0,55,220
11,2,220
2,10,219
56,56,216
57,57,215
7,58,215
10,2,214
15,1,212
21,0,211
68,0,211
0,59,210
47,0,210
29,7,209
230,60,209
114,20,209
5,28,209
0,61,208
24,25,208
16,29,208
33,1,207
44,62,206
18,19,206
2,28,206
1,13,204
1,20,204
89,63,204
96,4,203
33,64,203
65,65,202
1,28,202
197,66,201
0,5,199
19,6,199
33,0,199
48,0,198
45,0,197
52,52,197
12,2,196
67,67,196
2,25,196
1,50,196
12,19,195
0,33,195
74,0,194
6,25,193
0,68,193
10,25,193
7,51,193
6,8,192
0,46,192
139,69,191
39,0,191
8,28,191
4,1,191
237,70,190
69,10,189
11,8,189
35,0,189
54,0,188
71,71,187
58,16,187
53,19,187
50,2,185
76,0,184
2,72,184
2,11,184
12,8,183
52,39,183
25,11,182
59,12,180
19,53,180
27,0,179
28,10,179
19,49,179
128,6,179
58,7,179
2,19,179
1,15,178
8,18,177
24,21,177
16,73,177
8,10,176
8,20,176
74,74,175
34,0,174
27,28,174
19,27,174
8,13,173
75,75,173
2,31,173
54,54,173
1,76,173
25,10,172
0,74,172
77,77,172
15,11,172
1,27,172
6,18,171
28,1,171
8,6,171
68,78,170
11,10,170
10,12,170
20,1,169
79,79,168
11,25,168
25,12,167
6,12,167
0,76,167
2,20,167
12,6,166
10,6,166
2,17,166
4,6,166
13,0,165
0,80,165
0,50,165
81,81,165
2,5,165
4,12,165
28,2,164
8,12,164
16,58,164
135,0,163
59,59,163
43,0,163
82,82,163
47,47,163
128,52,163
20,11,163
44,0,162
49,25,162
64,33,162
19,12,162
30,0,162
20,8,162
25,19,161
83,83,161
11,12,161
6,10,160
11,19,160
56,0,159
49,19,158
12,11,158
0,30,158
0,56,158
19,8,158
19,10,158
142,0,157
71,0,156
73,29,155
0,35,155
157,0,155
140,0,155
76,1,154
6,20,154
205,4,154
0,84,154
24,85,154
10,28,154
86,86,154
89,70,154
4,25,153
4,8,153
42,0,152
6,11,152
18,12,151
0,87,151
10,24,150
10,11,150
1,59,150
25,6,149
18,25,149
28,11,149
45,88,149
29,0,148
87,0,148
108,89,148
6,4,148
90,90,148
10,8,148
50,0,148
50,1,148
11,24,147
7,73,147
0,91,146
0,41,146
0,92,146
145,0,146
4,10,146
141,0,145
0,22,145
0,93,145
69,94,145
95,95,144
74,96,144
73,16,144
17,1,144
0,97,144
80,0,144
92,1,144
1,54,144
68,68,143
110,16,143
18,24,143
0,86,143
98,98,143
40,0,143
10,19,143
2,18,143
18,6,142
28,6,142
24,19,142
52,1,142
15,10,142
6,28,141
12,18,141
106,0,141
97,28,141
49,99,140
0,100,140
5,45,139
0,101,139
0,43,139
0,26,139
24,10,139
11,6,139
99,99,139
2,33,139
29,102,138
146,0,138
6,103,138
73,7,138
19,18,138
10,18,138
65,1,137
18,8,137
0,75,137
269,6,137
2,27,137
27,42,136
65,33,136
104,104,136
0,105,136
66,66,136
31,72,135
12,4,135
59,1,135
103,0,135
0,106,135
155,9,135
1,107,135
51,29,134
236,11,134
21,21,134
25,49,134
25,8,134
108,108,134
28,19,134
15,2,134
12,10,133
110,7,133
18,11,133
0,57,133
19,11,133
11,4,133
41,0,133
33,12,133
1,49,133
1,52,133
53,53,133
27,18,132
31,1,132
12,28,132
12,24,132
28,8,132
5,1,132
30,109,132
83,2,132
2,86,132
7,110,132
87,11,131
18,49,131
39,39,131
28,5,131
0,29,131
33,6,131
18,2,130
8,21,130
137,0,130
61,0,130
1,31,130
0,45,129
0,111,129
26,4,129
26,1,129
6,49,128
43,12,128
0,112,128
0,113,128
19,28,128
75,0,128
1,68,128
12,49,127
114,114,127
67,0,127
133,1,127
29,51,126
59,3,126
37,0,126
68,1,126
110,29,126
0,94,126
160,0,126
52,11,126
2,50,126
12,115,125
28,12,125
11,18,125
11,15,125
15,12,125
20,28,125
53,1,125
51,110,124
63,116,124
25,15,124
49,12,124
0,44,124
0,117,124
19,24,124
26,96,124
92,0,124
51,51,123
107,1,123
49,28,123
49,11,123
0,118,123
24,11,123
118,0,123
119,119,122
266,120,122
0,121,122
19,86,122
69,69,122
4,49,122
1,75,122
18,10,121
0,98,121
2,76,121
12,43,120
167,0,120
8,27,120
0,60,120
258,122,120
98,0,120
52,12,120
16,110,120
10,4,120
1,61,120
89,89,120
107,0,119
25,31,119
112,0,119
49,34,119
49,1,119
39,25,119
8,19,119
8,15,119
0,123,119
24,31,119
61,61,119
2,92,119
125,0,118
124,124,118
76,76,118
143,0,118
65,64,118
164,41,118
0,125,118
126,126,118
52,19,118
101,101,117
27,11,117
49,6,117
6,24,117
59,10,117
205,0,117
33,31,117
33,11,117
1,92,117
101,0,116
100,100,116
0,127,116
19,25,116
129,0,116
11,49,116
2,49,116
86,1,116
1,86,116
1,53,116
48,1,115
34,6,115
18,33,115
5,97,115
67,15,115
8,68,115
137,19,115
19,74,115
128,128,115
11,43,115
256,129,115
10,31,115
1,71,115
234,0,114
144,0,114
25,28,114
130,130,114
8,31,114
0,131,114
97,45,114
11,28,114
116,132,114
1,133,114
27,12,113
165,0,113
96,0,113
134,134,113
28,20,113
164,70,113
0,95,113
0,135,113
0,47,113
0,133,113
30,1,113
11,20,113
26,0,113
155,0,113
15,112,113
4,28,113
92,2,113
21,12,112
27,109,112
31,12,112
12,52,112
0,136,112
0,137,112
212,138,112
11,52,112
2,52,112
86,8,112
92,92,112
53,25,112
44,1,111
76,139,111
25,21,111
13,2,111
45,5,111
0,79,111
0,38,111
0,140,111
19,141,111
19,41,111
75,1,111
142,142,111
38,44,111
41,19,111
58,51,111
15,31,111
53,2,111
29,110,110
25,143,110
25,18,110
6,52,110
13,10,110
33,10,110
58,58,110
140,19,110
12,68,109
12,33,109
18,59,109
0,144,109
11,68,109
2,59,109
87,2,108
27,19,108
27,145,108
17,8,108
0,146,108
0,71,108
11,33,108
33,28,108
10,49,108
10,59,108
10,20,108
20,2,108
1,44,108
111,0,108
53,12,108
6,17,107
6,50,107
57,0,107
18,27,107
39,1,107
8,17,107
0,67,107
147,147,107
156,0,106
49,86,106
6,15,106
263,0,106
8,52,106
0,119,106
0,103,106
137,148,106
55,149,106
11,31,106
52,25,106
1,35,106
89,0,106
95,0,105
63,63,105
25,4,105
49,2,105
105,105,105
18,50,105
164,150,105
17,56,105
8,40,105
8,4,105
8,133,105
0,40,105
151,151,105
66,0,105
33,18,105
2,48,105
21,24,104
25,24,104
152,152,104
43,10,104
131,18,104
80,33,104
52,2,104
35,18,104
217,2,103
6,53,103
12,59,103
91,0,103
131,131,103
8,55,103
0,143,103
0,153,103
0,154,103
75,11,103
56,17,103
2,13,103
4,11,103
50,92,103
133,0,103
1,39,103
1,30,103
259,38,102
79,0,102
216,20,102
13,8,102
74,49,102
65,98,102
18,30,102
0,138,102
30,18,102
69,2,102
52,6,102
155,155,102
15,67,102
4,33,102
1,48,102
6,27,101
110,110,101
17,6,101
0,156,101
24,6,101
24,8,101
30,11,101
128,35,101
2,46,101
4,18,101
92,12,101
95,1,100
63,70,100
25,52,100
84,0,100
12,21,100
12,27,100
28,49,100
83,0,100
52,10,100
2,142,100
20,24,100
35,1,100
21,17,99
153,4,99
103,6,99
175,0,99
17,2,99
0,157,99
90,0,99
2,87,99
2,15,99
2,53,99
15,28,99
51,73,98
49,8,98
6,59,98
68,2,98
39,19,98
0,82,98
0,158,98
0,159,98
0,160,98
0,161,98
55,8,98
15,25,98
21,1,97
6,13,97
68,11,97
39,2,97
28,24,97
0,99,97
0,162,97
33,25,97
33,8,97
10,50,97
4,2,97
147,0,97
22,0,96
177,11,96
63,163,96
246,0,96
0,83,96
80,1,96
52,8,96
33,106,96
10,15,96
2,97,96
20,12,96
53,6,96
29,141,95
182,0,95
25,33,95
31,10,95
31,50,95
12,15,95
64,64,95
18,43,95
131,0,95
28,4,95
164,164,95
128,39,95
11,30,95
33,2,95
10,39,95
50,11,95
1,95,95
29,58,94
102,108,94
76,8,94
25,53,94
123,123,94
139,0,94
105,0,94
138,0,94
28,25,94
8,25,94
0,165,94
0,141,94
19,87,94
166,166,94
10,87,94
2,3,94
20,67,94
1,97,94
35,6,94
241,0,93
27,6,93
6,89,93
106,12,93
106,30,93
68,25,93
71,6,93
28,33,93
141,19,93
0,167,93
0,114,93
0,85,93
24,15,93
159,0,93
145,145,93
38,0,93
40,46,93
11,59,93
80,80,93
58,29,93
2,54,93
1,46,93
1,87,93
244,0,93
27,2,92
42,42,92
6,30,92
43,1,92
187,0,92
18,76,92
8,46,92
8,76,92
0,142,92
24,12,92
61,101,92
11,87,92
168,168,92
2,21,92
2,45,92
20,18,92
50,12,92
1,135,92
273,150,92
21,4,91
18,35,91
14,38,91
8,61,91
0,169,91
47,12,91
97,0,91
40,82,91
33,30,91
10,43,91
2,34,91
1,98,91
177,0,90
27,131,90
31,25,90
12,106,90
57,6,90
59,6,90
71,52,90
150,0,90
18,28,90
18,17,90
28,75,90
17,24,90
8,54,90
0,96,90
137,137,90
257,0,90
11,106,90
126,0,90
52,170,90
10,27,90
4,19,90
20,49,90
50,10,90
1,106,90
1,5,90
53,11,90
48,2,89
76,28,89
108,0,89
31,28,89
59,11,89
59,2,89
13,15,89
68,6,89
28,15,89
164,35,89
45,1,89
24,28,89
97,2,89
55,56,89
9,9,89
11,29,89
10,33,89
1,21,89
1,43,89
29,163,88
87,1,88
63,150,88
76,12,88
25,27,88
31,33,88
12,30,88
43,11,88
18,29,88
18,4,88
0,171,88
19,30,88
75,10,88
69,0,88
11,13,88
11,39,88
33,44,88
15,6,88
1,80,88
89,150,88
3,2,87
25,20,87
6,34,87
6,43,87
12,31,87
13,25,87
71,1,87
150,150,87
18,52,87
39,12,87
8,98,87
24,18,87
24,4,87
19,80,87
19,140,87
157,1,87
56,55,87
55,31,87
172,172,87
52,18,87
181,30,87
15,48,87
50,6,87
1,64,87
1,173,87
191,2,86
42,61,86
31,6,86
109,0,86
105,1,86
5,10,86
0,155,86
0,147,86
77,0,86
171,0,86
11,76,86
80,12,86
174,174,86
1,125,86
1,175,86
29,1,85
176,176,85
27,31,85
49,59,85
49,10,85
8,59,85
0,177,85
158,6,85
19,17,85
75,6,85
178,178,85
41,1,85
10,76,85
10,80,85
2,135,85
15,8,85
1,101,85
1,142,85
1,90,85
199,0,84
197,0,84
3,8,84
87,28,84
25,30,84
12,17,84
12,172,84
12,50,84
43,19,84
37,37,84
100,1,84
5,88,84
0,139,84
0,179,84
0,126,84
0,168,84
24,49,84
19,118,84
30,6,84
239,0,84
126,17,84
2,74,84
2,68,84
50,8,84
1,55,84
1,40,84
29,53,83
94,0,83
76,6,83
31,8,83
88,0,83
6,29,83
6,76,83
74,66,83
82,0,83
164,180,83
17,19,83
0,130,83
0,77,83
0,181,83
195,0,83
11,53,83
33,59,83
2,69,83
194,0,83
4,52,83
4,20,83
29,11,82
21,10,82
214,0,82
25,151,82
221,2,82
49,87,82
6,31,82
106,106,82
28,18,82
0,182,82
0,183,82
0,184,82
24,52,82
19,39,82
19,52,82
61,8,82
83,11,82
97,97,82
41,12,82
41,18,82
2,107,82
2,71,82
2,157,82
50,18,82
1,74,82
135,135,81
87,87,81
87,19,81
25,87,81
25,39,81
262,0,81
49,82,81
6,44,81
185,185,81
70,0,81
45,2,81
0,3,81
0,186,81
0,187,81
0,188,81
0,189,81
75,2,81
11,27,81
1,69,81
35,19,81
21,8,80
76,18,80
190,190,80
6,61,80
6,33,80
12,76,80
68,30,80
17,12,80
0,170,80
0,191,80
0,192,80
0,193,80
0,194,80
30,28,80
81,0,80
33,65,80
10,53,80
2,55,80
1,26,80
87,25,79
213,0,79
76,10,79
25,59,79
25,50,79
198,0,79
169,0,79
12,145,79
12,20,79
12,53,79
13,11,79
68,12,79
68,4,79
121,0,79
8,49,79
0,195,79
0,196,79
173,1,79
24,17,79
30,19,79
211,2,79
2,101,79
2,80,79
35,12,79
29,18,78
197,197,78
180,11,78
46,1,78
25,17,78
191,21,78
198,198,78
31,11,78
186,0,78
49,52,78
43,8,78
68,180,78
150,23,78
18,151,78
28,39,78
8,100,78
0,199,78
0,107,78
0,145,78
0,174,78
0,200,78
11,74,78
271,0,78
99,0,78
10,13,78
2,47,78
54,71,78
4,106,78
92,11,78
1,105,78
203,66,78
29,25,77
180,0,77
46,2,77
48,19,77
87,142,77
27,52,77
25,129,77
201,201,77
286,0,77
202,202,77
49,18,77
43,6,77
18,203,77
149,0,77
0,63,77
0,190,77
0,204,77
19,46,77
19,4,77
55,17,77
122,0,77
11,55,77
10,52,77
32,33,77
2,35,77
20,48,77
20,19,77
86,6,77
1,29,77
1,45,77
1,47,77
29,12,76
101,6,76
87,31,76
146,146,76
6,75,76
12,57,76
12,75,76
59,8,76
74,8,76
43,25,76
250,0,76
37,2,76
68,8,76
100,0,76
0,88,76
0,205,76
0,150,76
0,9,76
0,90,76
137,25,76
206,206,76
11,142,76
41,6,76
117,0,76
20,10,76
50,13,76
50,28,76
1,41,76
1,162,76
21,2,75
125,19,75
44,6,75
27,24,75
245,0,75
6,87,75
6,57,75
6,129,75
12,47,75
59,33,75
106,164,75
188,0,75
8,24,75
0,207,75
212,43,75
11,50,75
80,27,75
126,20,75
168,12,75
60,0,75
2,98,75
4,68,75
50,25,75
50,4,75
1,96,75
112,19,74
112,1,74
49,4,74
57,12,74
74,11,74
110,58,74
18,20,74
5,12,74
8,30,74
0,208,74
0,62,74
0,164,74
0,209,74
19,44,74
19,106,74
192,0,74
61,6,74
30,8,74
30,20,74
83,12,74
142,18,74
210,210,74
211,211,74
11,212,74
11,92,74
52,4,74
33,49,74
10,157,74
2,44,74
116,70,74
260,0,74
20,17,74
20,4,74
1,157,74
35,2,74
53,49,74
53,18,74
21,25,73
21,28,73
259,0,73
119,0,73
25,56,73
108,1,73
266,0,73
31,18,73
31,55,73
59,19,73
106,33,73
43,2,73
64,185,73
18,41,73
17,55,73
0,213,73
0,214,73
0,69,73
0,129,73
30,2,73
166,0,73
40,8,73
40,2,73
11,22,73
118,1,73
52,28,73
256,19,73
200,0,73
10,74,73
194,1,73
15,52,73
4,59,73
4,24,73
92,25,73
1,112,73
89,12,73
53,24,73
29,6,72
29,19,72
215,0,72
107,107,72
125,1,72
225,0,72
136,136,72
163,29,72
93,0,72
76,49,72
169,1,72
49,24,72
139,1,72
6,74,72
216,0,72
73,51,72
18,39,72
23,0,72
28,87,72
28,84,72
5,6,72
0,215,72
0,197,72
0,216,72
0,66,72
0,89,72
173,173,72
24,217,72
61,11,72
83,1,72
9,0,72
52,24,72
26,19,72
15,20,72
20,25,72
1,83,72
27,114,71
76,2,71
221,5,71
112,112,71
6,21,71
12,129,71
12,92,71
59,49,71
59,18,71
13,12,71
218,218,71
71,128,71
138,12,71
28,59,71
5,107,71
8,79,71
0,219,71
0,108,71
0,42,71
173,0,71
24,27,71
258,102,71
212,0,71
19,29,71
19,31,71
19,20,71
30,12,71
129,1,71
97,1,71
38,38,71
193,0,71
11,75,71
80,6,71
52,49,71
52,33,71
26,25,71
66,19,71
33,27,71
2,139,71
2,106,71
2,129,71
4,86,71
161,0,71
86,24,71
270,0,71
29,73,70
3,21,70
31,39,70
6,68,70
12,35,70
13,43,70
13,24,70
13,50,70
43,18,70
36,1,70
71,8,70
138,1,70
18,92,70
220,220,70
28,27,70
141,141,70
17,10,70
0,221,70
0,222,70
0,223,70
137,129,70
19,43,70
19,181,70
75,18,70
157,8,70
56,8,70
55,1,70
26,18,70
155,108,70
10,30,70
2,56,70
15,24,70
92,10,70
1,166,70
1,128,70
29,30,69
241,26,69
180,12,69
170,0,69
44,19,69
44,2,69
177,13,69
135,24,69
87,8,69
249,0,69
27,25,69
25,55,69
143,4,69
169,41,69
49,53,69
6,5,69
6,86,69
6,35,69
12,157,69
224,224,69
68,19,69
73,73,69
18,87,69
18,74,69
18,53,69
113,1,69
28,123,69
62,1,69
8,200,69
0,225,69
0,212,69
0,226,69
0,227,69
209,0,69
77,12,69
264,0,69
80,19,69
184,27,69
2,39,69
50,49,69
1,22,69
1,65,69
35,128,69
180,180,68
44,98,68
156,10,68
76,11,68
76,4,68
25,106,68
74,1,68
187,187,68
39,11,68
39,10,68
62,44,68
45,33,68
127,67,68
17,25,68
8,190,68
8,71,68
0,198,68
0,228,68
47,8,68
47,19,68
33,229,68
2,167,68
2,81,68
4,27,68
20,27,68
290,0,68
50,52,68
1,108,68
1,194,68
249,19,67
76,25,67
25,80,67
25,35,67
230,230,67
88,88,67
79,18,67
12,87,67
106,11,67
74,2,67
18,106,67
28,30,67
28,97,67
62,0,67
8,113,67
8,35,67
0,231,67
47,2,67
61,25,67
30,24,67
129,6,67
56,2,67
9,232,67
40,1,67
33,68,67
10,17,67
10,92,67
2,22,67
2,83,67
2,90,67
4,76,67
20,13,67
1,139,67
120,0,66
215,215,66
180,25,66
46,81,66
144,19,66
87,48,66
165,165,66
96,96,66
49,76,66
49,15,66
6,41,66
12,29,66
167,19,66
13,6,66
13,20,66
37,1,66
64,0,66
18,31,66
18,129,66
5,33,66
17,21,66
8,125,66
8,97,66
8,56,66
0,233,66
0,234,66
0,235,66
0,64,66
47,1,66
61,1,66
30,29,66
75,12,66
11,236,66
52,68,66
10,68,66
10,86,66
292,11,66
89,6,66
51,58,65
46,48,65
46,10,65
48,48,65
48,25,65
48,12,65
235,0,65
109,1,65
190,0,65
6,101,65
6,80,65
6,92,65
59,4,65
106,1,65
113,0,65
39,6,65
62,62,65
141,53,65
8,43,65
0,237,65
0,238,65
19,158,65
19,26,65
30,35,65
75,28,65
179,0,65
211,0,65
281,0,65
80,8,65
33,24,65
33,98,65
15,19,65
133,133,65
92,13,65
1,79,65
1,121,65
1,141,65
1,147,65
35,11,65
29,43,64
102,102,64
21,11,64
101,1,64
48,10,64
87,6,64
63,0,64
76,43,64
25,79,64
31,24,64
31,92,64
262,18,64
6,46,64
6,211,64
12,71,64
106,18,64
43,24,64
71,188,64
229,35,64
164,63,64
45,28,64
17,20,64
19,34,64
19,45,64
192,19,64
77,1,64
142,2,64
56,6,64
11,83,64
11,35,64
80,65,64
238,0,64
10,135,64
2,103,64
2,224,64
2,40,64
161,12,64
161,18,64
20,31,64
1,145,64
111,12,64
35,25,64
101,182,63
101,25,63
101,8,63
125,125,63
182,6,63
95,25,63
63,89,63
27,82,63
25,96,63
25,61,63
31,20,63
143,2,63
221,0,63
84,1,63
49,30,63
139,10,63
6,106,63
12,112,63
167,167,63
114,0,63
57,24,63
74,25,63
64,65,63
130,0,63
18,86,63
18,89,63
164,0,63
17,11,63
0,239,63
137,11,63
19,66,63
19,35,63
61,49,63
61,19,63
61,2,63
75,25,63
129,129,63
142,1,63
128,0,63
11,101,63
11,240,63
11,17,63
11,77,63
11,89,63
52,15,63
155,47,63
2,29,63
2,43,63
181,0,63
15,5,63
50,21,63
86,19,63
1,138,63
35,49,63
35,10,63
21,27,62
219,0,62
233,0,62
136,0,62
48,24,62
48,15,62
3,3,62
94,194,62
135,6,62
27,10,62
191,0,62
96,18,62
88,2,62
49,47,62
175,1,62
71,33,62
28,186,62
104,5,62
141,29,62
254,239,62
8,5,62
8,50,62
0,241,62
0,72,62
0,81,62
0,242,62
47,6,62
24,20,62
61,12,62
77,6,62
30,10,62
75,8,62
151,12,62
98,46,62
269,0,62
80,25,62
80,2,62
26,8,62
168,18,62
66,1,62
33,100,62
10,57,62
10,83,62
2,156,62
2,61,62
2,30,62
15,4,62
20,68,62
20,83,62
1,167,62
1,37,62
35,8,62
53,10,62
107,8,61
21,18,61
255,1,61
177,1,61
259,29,61
119,50,61
27,122,61
31,15,61
31,86,61
123,0,61
112,25,61
49,243,61
139,25,61
6,39,61
6,45,61
6,141,61
6,97,61
12,212,61
13,177,61
65,32,61
185,64,61
110,51,61
64,106,61
18,44,61
131,6,61
39,4,61
28,68,61
5,131,61
5,15,61
24,50,61
19,13,61
19,47,61
19,155,61
61,10,61
264,8,61
157,2,61
55,2,61
98,235,61
11,135,61
11,63,61
11,64,61
11,80,61
11,86,61
66,18,61
33,92,61
10,48,61
10,75,61
194,20,61
54,6,61
50,33,61
50,15,61
86,87,61
1,235,61
22,28,60
101,18,60
234,1,60
135,8,60
87,24,60
34,2,60
76,19,60
25,101,60
25,54,60
42,19,60
31,4,60
221,221,60
139,12,60
6,71,60
6,244,60
12,44,60
59,25,60
59,24,60
13,28,60
175,175,60
74,6,60
64,11,60
138,8,60
18,75,60
39,49,60
28,22,60
28,13,60
85,85,60
85,0,60
45,6,60
222,0,60
254,0,60
17,28,60
0,245,60
0,172,60
0,206,60
47,15,60
137,1,60
212,12,60
19,209,60
30,41,60
11,180,60
237,35,60
41,169,60
80,17,60
33,180,60
20,46,60
20,52,60
86,10,60
92,49,60
92,33,60
1,3,60
1,244,60
1,111,60
35,13,60
125,8,59
170,52,59
3,1,59
27,54,59
76,92,59
25,44,59
266,8,59
262,1,59
109,27,59
246,246,59
6,77,59
79,8,59
12,151,59
12,247,59
59,28,59
59,142,59
218,0,59
64,12,59
220,0,59
28,61,59
28,142,59
28,52,59
28,35,59
85,24,59
85,1,59
164,89,59
45,8,59
127,127,59
17,81,59
8,33,59
0,248,59
0,236,59
0,249,59
0,250,59
0,251,59
0,173,59
212,222,59
61,18,59
77,19,59
159,6,59
38,1,59
183,183,59
41,155,59
90,1,59
162,0,59
168,232,59
2,147,59
54,31,59
54,133,59
20,15,59
1,252,59
1,129,59
1,211,59
147,18,59
35,24,59
22,18,58
21,6,58
46,19,58
156,19,58
27,46,58
25,29,58
153,153,58
132,70,58
49,44,58
6,158,58
6,83,58
12,139,58
106,6,58
106,19,58
72,0,58
185,253,58
71,18,58
64,180,58
64,253,58
113,31,58
141,25,58
141,1,58
8,95,58
0,254,58
47,52,58
24,76,58
19,68,58
77,8,58
252,1,58
30,49,58
30,229,58
83,18,58
69,25,58
151,29,58
206,0,58
41,168,58
90,8,58
10,22,58
10,101,58
181,181,58
